	name	hematokrit	smoker	leukocyty	relationship	ssn	alt	weight	erytrocyty	alp	ast	er-cv	etytr	hemoglobin	trombocyty	indicator	hbver
0	Courtney Sparks	5.10789	no	3.67594	married	211-15-5030	1.36076	65.50748	7.92270	80.65839	40.27331	46.67907	6.93084	7.07385	2.43339	0.00000	6.73439
1	David Cook	6.06717	no	6.61722	divoced	134-25-6459	1.10335	80.56053	7.13748	95.49950	51.14865	21.09764	6.17378	6.30636	3.16922	0.00000	6.69188
2	Diane Dunn		no	8.84155	married	410-38-6674	2.32670	165.53795	8.77005	88.36972	56.40210	28.48174	7.23321	6.44218	6.13313	0.00000	6.33770
3	Debra Cameron	8.52161	Y	8.76540	married	327-02-6401	3.08378	56.12232	9.11128	57.21363	57.61393	67.05110	7.25101	7.74219	5.54453	0.00000	6.08754
4	Vincent Mccullough	4.35962	no	6.61320	divoced	469-50-8029	5.08135	93.52107	9.68805	82.12788	75.41991	53.04260	6.18335	5.69975	5.34519	0.00000	6.34100
5	Lauren Harris	5.32524	Y	6.52586	divoced	755-50-6094	0.89996	57.01768	7.78640	80.50126	44.08776	60.41555	5.33112	6.68497	7.49621	1.00000	6.88636
6	Frank Lowe	7.46210	no	4.98112	divoced	493-29-6848	0.50368	153.66035	6.86042	73.78986	42.72811	32.79394	6.31026	7.24324	8.62323	1.00000	6.45190
7	Miss Alicia Lee	6.11107	Y	6.52783	married	476-41-1672	0.58196	86.95921	6.58372	77.79329	42.37056	62.73977	6.67897	5.59974	10.08814	1.00000	6.67740
8	Craig Lewis	11.41229	no	6.17251	divoced	004-15-9949	0.50390	78.25110	2.15005	31.05841	69.14773	70.35189	5.90307	8.23232	5.06484	1.00000	5.47029
9	Pamela Reed	8.87654	yes	5.83726	separated	377-12-5276	0.22511	146.12357	5.08886	90.34479	70.05449	47.90931	6.71019	6.68622	7.65829	1.00000	5.10898
10	Kenneth Thomas	9.10829	no	8.02726	married	714-76-1184	1.58700	40.96911	8.55858	53.09450	30.46066	50.90143	7.33640	4.87391	6.84418	0.00000	5.65698
11	Fernando Rowland	5.99568	Y	6.66473	married	800-85-4103	1.00373	20.13284	7.34121	71.91561	41.12620	55.85946	4.75965	6.96281	2.89967	0.00000	6.05213
12	Sharon Meyer	5.16968	no	7.21410	nop	108-68-9949	0.80422	61.37569	7.14084	81.87177	49.70877	59.40008	6.23564	6.07700	8.23384	1.00000	6.25073
13	Brandi Powers	8.28984	yes	6.73040	single	249-09-8084	0.74054	86.46793	3.10004	85.29152	39.13461	47.02386	7.54235	6.26788	7.27341	1.00000	6.25507
14	Tony Freeman	6.46543	Y	8.07794	married	674-29-8577	0.82992	62.34278	7.32977	69.92619	46.10248	63.08280	6.60637	5.18028	7.69989	1.00000	6.23251
15	Anna Chavez	7.80524	yes	6.56815	nop	147-43-9367	0.26038	46.68121	5.08251	83.00934	58.38055	19.45130	5.89411	6.90746	8.56048	1.00000	7.01079
16	Hannah Hayes	7.06856	yes	8.60982	nop	476-10-2099	0.28797	139.42316	6.28776	77.60519	46.07403	60.62010	6.68732	5.37028	8.65358	1.00000	5.95528
17	Rachel Hart	8.43810	no	2.83599	married	684-52-5834	0.51779	80.71745	6.45436	65.11030	42.79985	3.51963	6.71816	5.14612	6.20657	1.00000	5.96943
18	Daniel Rollins	2.89712	no	4.84066	widowed	888-39-1711	1.47287	92.98168	8.22206	78.38560	57.32182	50.25689	7.50720	5.46258	11.06316	1.00000	6.45217
19	Sheryl Miller	5.50385	no	3.50368	divoced	626-88-7696	0.88984	72.32161	7.16793	84.07036	86.24247	47.93711	5.75196	6.35736	5.40596	0.00000	7.71522
20	George Johnson	7.70398	N	5.04373	divoced	890-78-4187	0.48999	103.66850	6.06907	60.90285	39.51202	51.68765	7.45079	7.55332	7.95812	1.00000	7.99599
