	blood_group	company	job	ssn	sex	birthdate	race	name	address
0	A-	Yu Group	Engineer, energy	383-82-1198	M	08/10/1946, 00:00:00	White	John Beard	"2896 Juan Manor
North Douglasmouth, LA 50163"
1	O-	Chase, Brown and Price	Designer, furniture	828-02-1024	M	1933/01/31	Black	Dustin Oneal	"225 Moore Glen Suite 019
Amandastad, WA 64166"
2	O+	Martinez, Medina and Myers	Medical technical officer	604-55-3198	F	1989-11-29	Hawaiian	Rachel Brown	"51910 Timothy Lane
Horneburgh, DE 96504"
3	O-	Odonnell-Weber	Neurosurgeon	235-52-1947	M	10/07/1975, 00:00:00	Black	Robert Johnson	"5654 Kimberly Points Suite 971
South Robinshire, NJ 22747"
4	O-	Velazquez Ltd	Homeopath	160-55-3346	F	06/16/1934, 00:00:00	White	Stephanie Rodriguez	"25985 Kyle Terrace
Pamelaland, CA 64245"
5	A+	Shields, Burns and White	Immunologist	200-58-2303	F	03/10/1995, 00:00:00	Black	Misty Lawson	"663 Webster Ramp Apt. 767
Jeremyside, ND 56555"
6	AB+	Patterson, Ayala and Johnston	Photographer	579-68-8571	F	05/22/1945, 00:00:00	Black	Holly Jones	"36238 Carrillo Summit
Lake Laura, CT 24802"
7	B-	Welch-Ramirez	Manufacturing systems engineer	515-11-6924	F	1981/02/01	Indian	Regina Brown	"3402 Bush Port Suite 816
Youngfort, MA 45214"
8	O-	Dillon, Johnson and Snyder	Product manager	403-03-7706	M	1906-03-15	White	Jeremy Sharp	"221 Susan Ranch Apt. 893
East Deborahville, AZ 23442"
9	AB+	Gomez-Mendoza	Trading standards officer	075-35-7621	M	09/09/1994, 00:00:00	White	Joseph Gonzales	"5956 Megan Mall
Christineburgh, TN 38863"
10	O+	Norman Ltd	Television floor manager	287-01-0696	F	1959-01-28	White	Karen Blair	"8888 Choi Island
Lake Sarah, HI 01732"
11	O+	Schultz, Griffith and Dawson	Web designer	030-44-5901	F	1915/04/07	White	Carolyn King	"856 Meyer Heights
New Daniel, NJ 72234"
12	O+	Lopez, Jimenez and Benton	Holiday representative	087-72-8075	M	23 May 1976	Black	Rick Scott PhD	"9468 Robert Ways
Carpenterville, NY 64843"
13	AB+	Wilson-Odom	Camera operator	624-95-7936	M	1977-09-19	Asian	Christopher Baker	"47516 Ricky Orchard
Miguelville, OK 66327"
14	A+	Wilson, Bolton and Ferguson	Ship broker	538-54-6340	M	30 May 2001	Black	Matthew Stevens	"50920 David Run Suite 863
Fletcherport, KS 96703"
15	AB-	Miller-George	Human resources officer	109-24-8829	M	03/15/2008, 00:00:00	Black	Matthew Hancock	"6535 Wanda Motorway Apt. 748
West Tammy, NY 55164"
16	AB-	Carpenter-Porter	Emergency planning/management officer	231-17-2295	M	1945/06/21	White	William Peck	"76324 Janice Terrace
Cooperfort, SD 65313"
17	AB-	Patel-Riggs	Clothing/textile technologist	371-53-2936	F	04/03/1971, 00:00:00	White	Dominique Olson	"3640 Robert Wells Apt. 291
Lake Amberside, AL 62207"
18	AB+	Castillo-Bradley	Engineer, petroleum	049-65-7675	M	23 Sep 2014	Black	Louis Contreras	"9975 Daniel Overpass Apt. 629
East Jasonmouth, ND 11171"
19	O+	Estrada-Nelson	Research officer, government	286-80-2264	F	11/27/1978, 00:00:00	Black	Rachel Brown	"PSC 9286, Box 5780
APO AA 20763"
20	AB-	Bailey, Wilson and Brown	Civil engineer, consulting	768-32-5954	M	1928/01/25	Black	Justin Joyce	"43417 Clark Extension
Paulmouth, GA 35956"
21	A+	Adams-Davis	Intelligence analyst	350-29-8849	M	10/12/2003, 00:00:00	Asian	Christopher Fuller	"562 Zachary Square Apt. 032
New Francisco, VT 63725"
22	AB-	Rodriguez, Jensen and Lane	Senior tax professional/tax inspector	763-39-5959	F	1916/07/03	Indian	Kayla Haley	"50996 Cook Spring
North Jamesberg, VT 37281"
23	O+	Maldonado LLC	Film/video editor	676-66-1816	M	1951-02-21	Asian	Dwayne Campbell	"52557 James Plain
Lake Crystal, IL 23740"
24	AB+	Stephenson-Wood	Surveyor, quantity	898-94-8420	F	28 Jul 2013	Black	Mrs. Jacqueline Ward	"5701 Daniel Track Apt. 395
Lisaview, OH 83956"
25	O+	Ward, Escobar and Wood	Engineer, maintenance (IT)	204-20-6019	F	07 Mar 2017	White	Melissa Haas	"553 Alicia Isle
North Anthonyside, WY 81222"
26	B+	Strickland, Schroeder and Wong	Development worker, community	668-02-2041	M	1986/01/11	White	Dustin Mendoza	"726 Jesse Ports Suite 952
West Joelhaven, CO 03250"
27	O-	Parrish-Jenkins	Planning and development surveyor	403-65-5240	M	04/02/1917, 00:00:00	White	Terry Thompson	"5890 Ferguson Lodge Suite 254
Lake Jerry, AK 41464"
28	O-	Nguyen PLC	Tourism officer	594-37-0408	M	04 Jul 1979	white	Joshua Barrett	"5957 Kristen Ramp Apt. 525
West Frankberg, LA 93230"
29	O-	Sharp Ltd	Purchasing manager	779-31-7771	M	04/10/1926, 00:00:00	Black	Robert Medina	"41721 Karen Creek Suite 594
North Heather, PA 40623"
30	O+	Walsh LLC	Homeopath	630-07-4352	F	10 Jan 1941	White	Laura Bennett	"1695 Annette Parks Suite 755
Kimberlybury, WI 67457"
31	A+	Walters-Ferguson	Hydrogeologist	753-38-7099	F	09 Mar 2002	Black	Lauren Jones	"4048 Santiago Crest
Bradstad, AZ 87737"
32	A+	Hamilton-Turner	Garment/textile technologist	303-47-4993	M	1923/09/04	Asian	Ronald Taylor	"41735 Douglas Overpass
South Alejandro, TN 02866"
33	B-	Vazquez, Noble and Cabrera	Forensic psychologist	103-06-5364	M	11 Jun 1999	Black	Thomas King	"49847 Gordon Squares Suite 986
South Williamland, MI 45247"
34	B+	Walker PLC	Theatre stage manager	657-84-3098	F	1956/01/18	White	Hailey Fisher	"1539 Travis Road
West Jacob, GA 19502"
35	A-	Maldonado and Sons	Biomedical engineer	345-47-2085	F	01/25/1916, 00:00:00	White	Tiffany Owens	"9779 Christopher Valley Apt. 402
East Joshuahaven, WV 96807"
36	B-	Barnes-Ross	Personnel officer	409-66-7319	M	02 Jul 1979	Black	Edward Bradshaw	"Unit 7682 Box 2955
DPO AP 64115"
37	O+	Howard-Thomas	Trade union research officer	483-36-2694	M	1980/05/11	Black	Oscar Morse	"2689 Brian Valley Apt. 148
East Daniel, AZ 19757"
38	O+	Cummings, Bowman and Wolfe	Higher education careers adviser	737-94-0203	M	10/30/2017, 00:00:00	Asian	Jacob Morales	"404 Sherman Fall
New Anthony, CA 76032"
39	O-	Hall and Sons	Accountant, chartered public finance	696-81-9758	M	02 Jul 1936	Asian	William Park	"04639 Goodwin Inlet Suite 575
New Michael, AL 88925"
40	A+	Campbell LLC	Materials engineer	848-14-5186	F	03 Aug 1908	White	Sheryl Wallace	"957 Miller Burgs Suite 170
East William, TN 62503"
41	O+	Goodwin-Underwood	Garment/textile technologist	884-75-0592	F	1909-01-05	White	Felicia Gardner	"60780 Miller Freeway Apt. 664
Mccartyfurt, TN 47953"
42	A+	Stevenson-Jackson	Publishing rights manager	869-10-9591	M	2013-01-30	Black	Samuel Mcgrath	"9250 Hanson Unions Suite 501
Lake Stephaniefort, AL 82476"
43	AB-	Thompson Inc	Accountant, chartered certified	423-75-5379	M	11/07/1933, 00:00:00	Asian	Andrew Campbell	"657 Caldwell Ways Apt. 616
Jasonstad, MI 74035"
